"caption","commentsCount","likesCount","hashtags.0","hashtags.1","hashtags.2","hashtags.3","hashtags.4","hashtags.5","hashtags.6","hashtags.7","hashtags.8","hashtags.9","hashtags.10","hashtags.11","ownerUsername","timestamp","type","kalenderwoche"
"Meme-Coins: Riesige Gewinne, noch größere Risiken. 
#Krypto #Memecoin #Bitcoin #Investieren #tagesschau",234,12345,"Krypto","Memecoin","Bitcoin","Investieren","tagesschau","","","","","","","","tagesschau",2025-02-02 20:20:05,"Video",5
"Insgesamt 29 Parteien treten in Deutschland zur Bundestagswahl an – aber nicht in jedem Bundesland. Nur zehn Parteien stehen bundesweit zur Wahl. Dabei ist die CDU nicht mitgezählt, da sie in Bayern durch die CSU vertreten wird. 
 
Mitte Januar hatte der Bundeswahlausschuss 41 Parteien zur Bundestagswahl zugelassen. Die meisten von ihnen benötigten zusätzlich eine Mindestzahl von Unterstützungsunterschriften, um auf die Stimmzettel der Bundesländer zu gelangen. Diese muss jede Partei einreichen, die nicht ununterbrochen seit der letzten Wahl mit mindestens fünf Abgeordneten im Deutschen Bundestag oder in einem Landtag vertreten war. Vielen gelang das nicht. Daher sind es nun nach den Entscheidungen der Landeswahlausschüsse zwölf Parteien weniger. 
 
Thüringen wird in den Abbildungen nicht extra aufgelistet, da in dem Bundesland neben den bundesweit antretenden Parteien keine weiteren zur Wahl stehen. 
 
Die Parteien sind in der amtlichen Reihenfolge gelistet. Zuerst sind die Parteien aufgeführt, die bei der Wahl 2021 antraten, absteigend nach Zahl der Zweitstimmen. Es folgen alphabetisch die Parteien, die 2021 nicht zur Wahl standen. Das ist von Bundesland zu Bundesland dann jeweils eine eigene Reihenfolge. 
 
#bundestagswahl #parteien #bundesländer #tagesschau #nachrichten",850,59505,"bundestagswahl","parteien","bundesländer","tagesschau","nachrichten","","","","","","","","tagesschau",2025-02-02 20:57:39,"Sidecar",5
"Wenn man dem berühmten Murmeltier Phil glauben mag, sind in den USA sechs weitere Wochen Winterwetter zu erwarten. Phil habe seinen Schatten gesehen, berichteten mehrere US-Medien übereinstimmend.
 
Das weltbekannte Murmeltier gab auf einer Veranstaltung in der Kleinstadt Punxsutawney im US-Bundesstaat Pennsylvania vor einer jubelnden Menschenmenge seine Vorhersage bekannt, die von dem Vorsitzenden des Vereins „Groundhog Club“ gedeutet und „übersetzt“ wurde.
 
Die Tradition sieht vor, dass jedes Jahr am 2. Februar die Mitglieder des „Inner Circle“ des „Groundhog Clubs“ das Murmeltier bei Sonnenaufgang aus seinem Baumstumpf holen und befragen. Sieht das Tier dabei seinen Schatten, erschrickt es sich und verschwindet wieder in seinen Bau. Seit über 130 Jahren treffen die Murmeltiere angeblich stets korrekte Vorhersagen.

Der „Groundhog Club“ erklärt, dass jede Unstimmigkeit zwischen der tatsächlichen Witterung und Phils Prognose auf Übersetzungsfehler zurückzuführen sei, nicht auf eine Fehlprognose. Tatsächlich liegt das Murmeltier in nicht einmal der Hälfte aller Fälle richtig – ein Münzwurf wäre als Prognose sogar genauer.
 
Die weltweit beachtete Tradition wurde wahrscheinlich von deutschen Einwander:innen nach Pennsylvania gebracht. Besondere Bekanntheit erlangte sie durch den Hollywood-Film „Und täglich grüßt das Murmeltier“ von 1993 mit Bill Murray und Andie MacDowell in den Hauptrollen. 
 
#groundhogday #phil #murmeltier #punxsutawney #nachrichten #tagesschau",366,104122,"groundhogday","phil","murmeltier","punxsutawney","nachrichten","tagesschau","","","","","","","tagesschau",2025-02-02 16:01:10,"Sidecar",5
"Kanada, Mexiko und China haben empört darauf reagiert, dass die USA Sonderzölle gegen sie erheben. Der kanadische Premier Trudeau hat Gegenmaßnahmen in gleicher Höhe angekündigt. Kanada werde seinerseits ab Dienstag Zölle in Höhe von 25 Prozent auf US-Waren einführen, sagte Trudeau auf einer Pressekonferenz. 
 
Auch die mexikanische Präsidentin Claudia Sheinbaum kündigte umgehend Gegenmaßnahmen an. Sie habe Wirtschaftsminister Marcelo Ebrard angewiesen, einen Plan umzusetzen, der Gegenzölle umfasse, schrieb die Präsidentin auf der Plattform X. 
 
China will die US-Zölle auf Waren aus der Volksrepublik vor der Welthandelsorganisation (WTO) anfechten und kündigte Gegenmaßnahmen an, die aber nicht weiter beschrieben wurden. Die Zölle verstießen gegen internationale Handelsregelungen, teilte das Handelsministerium mit. Allerdings hielt sich China die Tür zu Gesprächen mit den USA offen und forderte die USA zu einem offenen Dialog auf. 
 
Zuvor hatte Trump seine Drohung wahr gemacht und weitreichende Zölle auf Waren aus Kanada, Mexiko und China verhängt. Trump verkündete den Schritt auf der Plattform Truth Social. Erhoben würden Zölle in Höhe von 10 Prozent auf alle Einfuhren aus China und 25 Prozent auf Importe aus den Nachbarländern Mexiko und Kanada, hieß es. Für Energie-Einfuhren aus Kanada wiederum solle ein Satz von 10 Prozent gelten, hieß es weiter. 
 
#usa #zölle #trump #kanada #mexiko #china #nachrichten #tagesschau",476,38408,"usa","zölle","trump","kanada","mexiko","china","nachrichten","tagesschau","","","","","tagesschau",2025-02-02 22:01:05,"Sidecar",5
"Was bringt strategisches Wählen? 

#tagesschau #nachrichten #bundestagswahl",1252,26838,"tagesschau","nachrichten","bundestagswahl","","","","","","","","","","tagesschau",2025-02-02 12:58:00,"Video",5
"In der EU treten erste Regeln zum Umgang mit künstlicher Intelligenz in Kraft. Das KI-Gesetz der Europäischen Union ist im August 2024 in Kraft getreten und soll schrittweise umgesetzt werden. Es ist das erste staatenübergreifende Gesetzeswerk zum Einsatz von künstlicher Intelligenz. Ziel der neuen Verordnung ist nach Darstellung der EU-Kommission nicht nur der Schutz der Rechte der Verbraucher:innen. Man wolle auch sicherstellen, dass KI verantwortungsvoll eingesetzt werde. 

So untersagt die EU u. a. den Einsatz von KI-Programmen, die eine Bewertung nach sozialem Verhalten vornehmen. In der EU soll es auch keine Emotionserkennung am Arbeitsplatz oder in Bildungseinrichtungen geben. Die Gesichtserkennung im öffentlichen Raum – zum Beispiel durch Videoüberwachung an öffentlichen Plätzen – soll ebenfalls grundsätzlich nicht erlaubt sein. Dabei gibt es jedoch Ausnahmen: Polizei und andere Sicherheitsbehörden sollen eine solche Gesichtserkennung nutzen dürfen, um bestimmte Straftaten wie Menschenhandel und Terrorismus verfolgen zu können. 

Der Branchenverband Bitkom kritisierte das KI-Gesetz, weil es keine Rechtssicherheit biete. Es sei unklar, für welche Anwendungen das gesetzliche Verbot tatsächlich gelte, sagte Susanne Dehmel, Mitglied der Bitkom-Geschäftsleitung. 

Die Präsidentin der EU-Kommission, Ursula von der Leyen, und die Präsidentin der Europäischen Zentralbank, Christine Lagarde, räumten in einem gemeinsamen Blogeintrag ein, dass die Wettbewerbsfähigkeit Europas in Gefahr sei. „Während sich eine globale Revolution der künstlichen Intelligenz entfaltet, könnte die EU ins Abseits geraten.“ Europa verfüge jedoch auch über die notwendigen Voraussetzungen, um im technologischen Wettlauf aufzuholen, schrieben von der Leyen und Lagarde. 

#KI #AIAct #EU #Europa #künstlicheIntelligenz #Nachrichten #tagesschau",435,61029,"KI","AIAct","EU","Europa","künstlicheIntelligenz","Nachrichten","tagesschau","","","","","","tagesschau",2025-02-02 14:28:45,"Sidecar",5
"Im russischen Angriffskrieg gegen die Ukraine sind durch neue Bomben- und Raketenangriffe mehr als ein Dutzend Menschen getötet worden. Nach dem Einschlag einer Rakete in einem Wohnhaus in Poltawa in der Zentralukraine stieg die Zahl der Toten auf mindestens zwölf. 

In der von ukrainischen Truppen kontrollierten Stadt Sudscha im russischen Gebiet Kursk starben nach Angaben des Generalstabs in Kiew mindestens vier Menschen, als eine Gleitbombe in einer als Notunterkunft genutzten Schule einschlug. Vier weitere Bewohner des russischen Gebiets seien verletzt worden, der Zustand von weiteren 84 Menschen sei befriedigend. Es handelte sich durchweg um russische Zivilisten. 

Das russische Verteidigungsministerium wies die Darstellung aus Kiew zurück und erklärte, die ukrainischen Streitkräfte hätten vom benachbarten Sumy aus mit Raketen zielgerichtet auf Sudscha geschossen. Das Gebäude sei von einer ukrainischen Rakete getroffen worden. 

Die ukrainische Luftwaffe wies die Anschuldigungen zurück und widerlegte die Behauptungen Moskaus in der Nacht mit Skizzen mit Berechnungen zur Flugbahn des Projektils, das in dem Gebäude eingeschlagen war. Vom Einschlagwinkel her könne es sich daher nur um eine Lenkbombe handeln, die von einem Flugzeug östlich von Sudscha abgeworfen worden sei. 

Die Angaben der Kriegsparteien sind nicht von unabhängiger Seite überprüfbar. 

#ukraine #sudscha #kursk #tagesschau #nachrichten",478,39336,"ukraine","sudscha","kursk","tagesschau","nachrichten","","","","","","","","tagesschau",2025-02-02 10:01:09,"Sidecar",5
"Im vergangenen Jahr hat die Polizei deutschlandweit 218 politisch motivierte Angriffe auf Flüchtlingsunterkünfte festgestellt – und damit deutlich mehr Straftaten als im Vorjahr. Das geht aus einer Antwort des Bundesinnenministeriums auf eine Kleine Anfrage der Gruppe Die Linke im Bundestag hervor, die dem Redaktionsnetzwerk Deutschland vorlag. 

Die Zahl der politisch motivierten Straftaten gegen Geflüchtete außerhalb von Unterkünften ist den Angaben nach hingegen leicht gesunken. Die Behörden registrierten bis Jahresende 1.905 Straftaten, davon 237 Gewalttaten. Im Jahr 2023 waren es 2.450 gewesen. 

Die Bundesregierung verweist in ihrer Antwort aber auf den vorläufigen Charakter der Zahlen. Es ist demnach damit zu rechnen, dass diese Zahl für das Jahr 2024 noch ansteigt, weil noch Meldungen aus dem vierten Quartal nachgereicht werden dürften. 

So hatte sich die Zahl der politischen Straftaten gegen Geflüchtete im dritten Quartal durch Nachmeldungen nachträglich verdreifacht. Auch die Zahl der politisch motivierten Straftaten an Flüchtlingsunterkünften wurde regelmäßig nachträglich nach oben korrigiert. 

#Angriffe #Straftaten #Bundesregierung #Geflüchtete #Nachrichten #tagesschau",2345,54308,"Angriffe","Straftaten","Bundesregierung","Geflüchtete","Nachrichten","tagesschau","","","","","","","tagesschau",2025-02-02 11:30:07,"Sidecar",5
"NATO-Generalsekretär Rutte fordert von Deutschland höhere Verteidigungsausgaben und mehr Rüstungsproduktion. „Die Deutschen haben seit dem Kriegsbeginn in der Ukraine viel richtig gemacht“, sagte Rutte der „Bild am Sonntag“. „Angesichts der Größe der deutschen Wirtschaft wollen wir natürlich, dass sie noch viel mehr tun.“ 

Er fügte hinzu: „Deutschland muss die Rüstungsausgaben erhöhen, das wird notwendig sein.“ Gleichzeitig müsse es die Produktion hochfahren, sagte der Niederländer. Das werde in den nächsten Monaten die Debatte in vielen europäischen Ländern sein. „Wir müssen uns auf Krieg vorbereiten. Das ist der beste Weg, um Krieg zu vermeiden.“ 

Rutte begründete seine Forderung mit einer wachsenden Bedrohungslage. „Nicht nur die Situation mit Russland ist gefährlich, auch die Chinesen bauen ihre militärischen Fähigkeiten enorm aus.“ Alle NATO-Staaten, auch die USA, müssten deshalb mehr für die Verteidigung tun, sagte Rutte. Wie hoch das neue Ausgabenziel der NATO ausfallen werde, sei Gegenstand der Diskussionen. „Ich kann Ihnen aber eins versichern: Es wird viel, viel, viel mehr sein als zwei Prozent.“ 

#rutte #nato #ukraine #deutschland #tagesschau #nachrichten",1599,54232,"rutte","nato","ukraine","deutschland","tagesschau","nachrichten","","","","","","","tagesschau",2025-02-02 09:00:09,"Image",5
"Deutschlandweit sind Menschen auf die Straße gegangen, um gegen einen Rechtsruck und eine Zusammenarbeit mit der AfD zu protestieren. Die Demonstrationen blieben nach Polizeiangaben größtenteils friedlich. 

Die größten Veranstaltungen gab es in Hamburg, Leipzig und Stuttgart. Nach Angaben der Polizei demonstrierten in Hamburg 65.000 Menschen. In Stuttgart sollen sich laut Veranstalter etwa 44.000 Menschen versammelt haben. Laut MDR gingen nach Polizeiangaben in Leipzig 10.000 Menschen auf die Straße. 

Die Proteste richteten sich auch gegen die Union. Die hatte am Mittwoch mithilfe der AfD einen Antrag zur Verschärfung der Migrationspolitik im Bundestag durchgesetzt. Ein Gesetzentwurf zur Begrenzung der Migration scheiterte am Freitag allerdings. 

Auch im thüringischen Apolda sind am Samstag mindestens 1.500 Menschen auf die Straße gegangen und haben gegen einen Bundeskongress der vom Verfassungsschutz beobachteten AfD-Nachwuchsorganisation „Junge Alternative“ (JA) demonstriert. Der AfD-Parteitag in Riesa hatte kürzlich entschieden, dass die JA durch eine neue Nachwuchsorganisation ersetzt werden soll. In Apolda beschloss die „Junge Alternative“ nun ihre Auflösung zum 31. März. 

#Protest #Deutschland #Nachrichten #tagesschau",4468,251654,"Protest","Deutschland","Nachrichten","tagesschau","","","","","","","","","tagesschau",2025-02-01 20:42:13,"Sidecar",5
